,hardware_spec,embedding,horizon,lambda,time
571,fake_paris,2,7,0.9638227437560709,774
572,fake_paris,3,4,0.5,11
573,fake_paris,3,5,0.5,46
574,fake_paris,3,6,0.9674613506223577,190
575,fake_paris,3,7,0.9674613506223577,775
576,fake_paris,4,4,0.500002000003,11
577,fake_paris,4,5,0.500002500005,46
578,fake_paris,4,6,0.9655264035258567,189
579,fake_paris,4,7,0.9655273690522603,775
580,fake_paris,5,4,0.500002000003,11
581,fake_paris,5,5,0.500002500005,46
582,fake_paris,5,6,0.9710308852142241,189
583,fake_paris,5,7,0.9710308852142241,774
584,fake_paris,6,4,0.500002000003,11
585,fake_paris,6,5,0.5000030000065,46
586,fake_paris,6,6,0.971332040167243,189
587,fake_paris,6,7,0.971332040167243,775
588,fake_auckland,0,4,0.5000010000005,12
589,fake_auckland,0,5,0.5000015000015,47
590,fake_auckland,0,6,0.9842451753800266,198
591,fake_auckland,0,7,0.9842482079046916,801
