,hardware_spec,embedding_index,horizon,hcxh,hcxh2,twoq,twoq2,h-h2,h-q,h-q2,h2-q,h2-q2,q-q2
932,fake_sydney,3,4,0.810992593128,0.8110123024027476,0.811038506576768,0.8459621253943043,-1.970927474759243e-05,-4.591344876803127e-05,-0.03496953226630428,-2.6204174020438842e-05,-0.03494982299155669,-0.03492361881753625
933,fake_sydney,3,5,0.810992593128,0.825670888548774,0.8110466131707947,0.8459621781304866,-0.014678295420774035,-5.4020042794755696e-05,-0.03496958500248659,0.014624275377979279,-0.020291289581712557,-0.034915564959691836
934,fake_sydney,3,6,0.810992593128,0.8298792809276977,,,-0.01888668779969771,,,,,
935,fake_sydney,4,2,0.845456630232,0.8454610888,,0.845457629515,-4.458568000020868e-06,,-9.992830000138397e-07,,3.4592850000070285e-06,
936,fake_sydney,4,3,0.845456630232,0.845469543410888,0.845479536310816,0.845457629515,-1.2913178887963284e-05,-2.2906078815942976e-05,-9.992830000138397e-07,-9.992899927979693e-06,1.1913895887949444e-05,2.1906795815929136e-05
937,fake_sydney,4,4,0.845456630232,0.8454779981063221,0.8455048931896585,0.8530407742729001,-2.136787432205356e-05,-4.826295765847366e-05,-0.0075841440409001315,-2.68950833364201e-05,-0.007562776166578078,-0.007535881083241658
938,fake_sydney,4,5,0.845456630232,0.8454864528863032,0.8455133444469443,0.8530407838882551,-2.9822654303179874e-05,-5.6714214944242336e-05,-0.007584153656255088,-2.6891560641062462e-05,-0.007554331001951908,-0.007527439441310846
939,fake_sydney,4,6,0.845456630232,0.8459655848288757,,,-0.0005089545968757214,,,,,
940,fake_sydney,5,2,0.823920743589,0.8239004086,,0.823920742818,2.0334989000003745e-05,,7.710000415883655e-10,,-2.0334217999962156e-05,
941,fake_sydney,5,3,0.823920743589,0.8239004086,0.8239004086,0.823920742818,2.0334989000003745e-05,2.0334989000003745e-05,7.710000415883655e-10,0.0,-2.0334217999962156e-05,-2.0334217999962156e-05
942,fake_sydney,5,4,0.823920743589,0.8239004086,0.8239004086,0.8495113739578476,2.0334989000003745e-05,2.0334989000003745e-05,-0.025590630368847567,0.0,-0.02561096535784757,-0.02561096535784757
943,fake_sydney,5,5,0.823920743589,0.8239004086,0.8239004086,0.8495114042174793,2.0334989000003745e-05,2.0334989000003745e-05,-0.025590660628479256,0.0,-0.02561099561747926,-0.02561099561747926
944,fake_sydney,5,6,0.823920743589,0.8239004086,,,2.0334989000003745e-05,,,,,
945,fake_toronto,0,2,0.815699970063,0.815679785,,0.815699983714,2.0185062999944492e-05,,-1.365099999706132e-08,,-2.0198713999941553e-05,
946,fake_toronto,0,3,0.815699983714,0.815679785,0.815681627902152,0.815700540096684,2.0198713999941553e-05,1.8355811847947656e-05,-5.563826840360164e-07,-1.842902151993897e-06,-2.075509668397757e-05,-1.8912194531983673e-05
947,fake_toronto,0,4,0.815699983714,0.815679785,0.815681627902152,0.8405265947349855,2.0198713999941553e-05,1.8355811847947656e-05,-0.02482661102098549,-1.842902151993897e-06,-0.02484680973498543,-0.024844966832833437
948,fake_toronto,0,5,0.815699983714,0.815679785,0.815681627902152,0.8405266384878071,2.0198713999941553e-05,1.8355811847947656e-05,-0.024826654773807078,-1.842902151993897e-06,-0.02484685348780702,-0.024845010585655025
949,fake_toronto,0,6,0.815699983714,0.815679785,,,2.0198713999941553e-05,,,,,
950,fake_toronto,1,2,0.843944624,0.843934632,,0.8439436248,9.992000000069723e-06,,9.992000000735857e-07,,-8.992799999996137e-06,
951,fake_toronto,1,3,0.8439446248,0.843934632,0.84393618455376,0.84394382543936,9.992800000024893e-06,8.440246240026816e-06,7.993606400136244e-07,-1.5525537599980765e-06,-9.193439360011268e-06,-7.640885600013192e-06
952,fake_toronto,1,4,0.844861732385232,0.84484980537192,0.84393618455376,0.8529040796597097,1.1927013311985313e-05,0.0009255478314720289,-0.008042347274477724,0.0009136208181600436,-0.008054274287789709,-0.008967895105949752
953,fake_toronto,1,5,0.844861732385232,0.850133569632787,0.84393618455376,0.85290408488667,-0.005271837247554978,0.0009255478314720289,-0.008042352501438033,0.006197385079027007,-0.0027705152538830546,-0.008967900332910062
954,fake_toronto,1,6,0.844861732385232,0.850192156253192,,,-0.00533042386796001,,,,,
955,fake_toronto,2,2,0.79448338647,0.7944635277,,0.7944843764,1.9858770000102943e-05,,-9.899299999727162e-07,,-2.084870000007566e-05,
956,fake_toronto,2,3,0.7944843764,0.7944635277,0.7944635277,0.794484708620508,2.084870000007566e-05,2.084870000007566e-05,-3.322205079925311e-07,0.0,-2.118092050806819e-05,-2.118092050806819e-05
957,fake_toronto,2,4,0.7944843764,0.7944635277,0.7944635277,0.8374862066052527,2.084870000007566e-05,2.084870000007566e-05,-0.04300183020525272,0.0,-0.0430226789052528,-0.0430226789052528
958,fake_toronto,2,5,0.7944843764,0.7944635277,0.7944635277,0.8374862551170946,2.084870000007566e-05,2.084870000007566e-05,-0.0430018787170946,0.0,-0.043022727417094675,-0.043022727417094675
959,fake_toronto,2,6,0.7944843764,0.7944635277,,,2.084870000007566e-05,,,,,
960,fake_toronto,3,2,0.840456874648,0.840450092,,0.840456874648,6.782648000025482e-06,,0.0,,-6.782648000025482e-06,
961,fake_toronto,3,3,0.840456874648,0.840450092,0.840450092,0.8404572766919656,6.782648000025482e-06,6.782648000025482e-06,-4.020439655638697e-07,0.0,-7.1846919655893515e-06,-7.1846919655893515e-06
962,fake_toronto,3,4,0.840456874648,0.840450092,0.840450092,0.8509797841258488,6.782648000025482e-06,6.782648000025482e-06,-0.01052290947784884,0.0,-0.010529692125848866,-0.010529692125848866
963,fake_toronto,3,5,0.840456874648,0.840450092,0.840450092,0.8509797965518298,6.782648000025482e-06,6.782648000025482e-06,-0.010522921903829752,0.0,-0.010529704551829777,-0.010529704551829777
964,fake_toronto,3,6,0.840456874648,0.840450092,,,6.782648000025482e-06,,,,,
965,fake_toronto,4,2,0.83716264632,0.837143709,,0.83716164632,1.8937320000023128e-05,,1.0000000000287557e-06,,-1.7937319999994372e-05,
966,fake_toronto,4,3,0.83716264632,0.837143709,0.837145337262912,0.8371621119754368,1.8937320000023128e-05,1.7309057088077395e-05,5.343445632632893e-07,-1.6282629119457326e-06,-1.840297543675984e-05,-1.6774712524814106e-05
967,fake_toronto,4,4,0.83716264632,0.837143709,0.837145337262912,0.8514128828210467,1.8937320000023128e-05,1.7309057088077395e-05,-0.01425023650104662,-1.6282629119457326e-06,-0.014269173821046643,-0.014267545558134698
968,fake_toronto,4,5,0.83716264632,0.837143709,0.837145337262912,0.8514129025028492,1.8937320000023128e-05,1.7309057088077395e-05,-0.014250256182849141,-1.6282629119457326e-06,-0.014269193502849165,-0.014267565239937219
969,fake_toronto,4,6,0.83716264632,0.837143709,,,1.8937320000023128e-05,,,,,
970,fake_toronto,5,2,0.845009948356,0.845001557,,0.845009947861,8.391355999948225e-06,,4.949999299341812e-10,,-8.39086100001829e-06,
971,fake_toronto,5,3,0.845010946872,0.845001557,0.845001557,0.845009947861,9.389871999943011e-06,9.389871999943011e-06,9.99010999924721e-07,0.0,-8.39086100001829e-06,-8.39086100001829e-06
972,fake_toronto,5,4,0.845010946872,0.845001557,0.845001557,0.8529208889336413,9.389871999943011e-06,9.389871999943011e-06,-0.007909942061641306,0.0,-0.00791933193364125,-0.00791933193364125
973,fake_toronto,5,5,0.845010946872,0.8501663145310091,0.845001557,0.8529208938543229,-0.005155367659009147,9.389871999943011e-06,-0.007909946982322946,0.00516475753100909,-0.0027545793233137994,-0.00791933685432289
974,fake_toronto,5,6,0.845010946872,0.8502158506926131,,,-0.005204903820613116,,,,,
975,fake_valencia,0,2,0.836581348505,0.8365953674,,0.836580349138,-1.4018894999967557e-05,,9.993670000429944e-07,,1.5018262000010552e-05,
976,fake_valencia,0,3,0.836581349138,0.8365953674,0.836597001546324,0.836580349138,-1.4018261999981796e-05,-1.5652408324018374e-05,1.0000000000287557e-06,-1.6341463240365783e-06,1.5018262000010552e-05,1.665240832404713e-05
977,fake_valencia,0,4,0.836581349138,0.8365953674,0.836597001546324,0.8519634335606968,-1.4018261999981796e-05,-1.5652408324018374e-05,-0.01538208442269684,-1.6341463240365783e-06,-0.015368066160696858,-0.015366432014372822
978,fake_valencia,0,5,0.836581349138,0.8477139114196118,0.836597001546324,0.8519634399604087,-0.011132562281611857,-1.5652408324018374e-05,-0.015382090822408712,0.011116909873287839,-0.004249528540796854,-0.015366438414084693
979,fake_valencia,0,6,0.836581349138,0.8479814516869437,,,-0.011400102548943747,,,,,
