horizon,alg_index,hardware_spec,embedding_index,acc
4,0,fake_rochester,2,0.5894687124397813
4,0,fake_rochester,3,0.9734379984595625
4,0,fake_rochester,4,0.5181884640750313
4,0,fake_washington,0,0.9814572735469181
4,0,fake_washington,1,0.735659115274364
4,0,fake_washington,2,0.9944922954829433
4,1,fake_johannesburg,0,0.6779068725083294
4,1,fake_johannesburg,1,0.9807416843413572
4,1,fake_johannesburg,2,0.9051810862196684
4,1,fake_johannesburg,3,0.9854137507528149
4,1,fake_almaden,0,0.9784274639571109
4,1,fake_almaden,1,0.9286194052760278
4,1,fake_almaden,2,0.990037419986016
4,1,fake_almaden,3,0.6658128091659329
4,1,fake_boeblingen,0,0.9509723173890772
4,1,fake_boeblingen,1,0.93215372502498
4,1,fake_boeblingen,2,0.9842466984505952
4,1,fake_boeblingen,3,0.9154561728907276
4,1,fake_poughkeepsie,0,0.990991583731072
4,1,fake_poughkeepsie,1,0.9648645656022595
4,1,fake_poughkeepsie,2,0.89158986412832
4,1,fake_poughkeepsie,3,0.9203949800656813
4,1,fake_singapore,0,0.8304323378644276
4,1,fake_singapore,1,0.9925110133087465
4,1,fake_singapore,2,0.9644028072150255
4,1,fake_singapore,3,0.9327305446555296
4,1,fake_tokyo,0,0.9178833172907782
4,1,fake_tokyo,1,0.8683677821393044
4,1,fake_tokyo,2,0.8711798834037627
4,1,fake_tokyo,3,0.9763414434937255
4,1,fake_tokyo,4,0.931716770160666
4,1,fake_hanoi,0,0.9385104487470946
4,1,fake_hanoi,1,0.9937258386519612
4,1,fake_hanoi,2,0.9026295762683786
4,1,fake_hanoi,3,0.9030620812856089
4,1,fake_cairo,0,0.985738683693338
4,1,fake_cairo,1,0.862829689322912
4,1,fake_cairo,2,0.964576759789561
4,1,fake_cairo,3,0.9937261303639165
4,1,fake_mumbai,0,0.9549156682438105
4,1,fake_mumbai,1,0.9854396331094676
4,1,fake_mumbai,2,0.9343650715086552
4,1,fake_mumbai,3,0.861337321550914
4,1,fake_kolkata,0,0.9955130080809658
4,1,fake_kolkata,1,0.9472681125001094
4,1,fake_kolkata,2,0.9898698752008487
4,1,fake_kolkata,3,0.9665726800167206
4,1,fake_auckland,0,0.8218148702414304
4,1,fake_auckland,1,0.990461838661381
4,1,fake_geneva,0,0.8150798966303426
4,1,fake_geneva,1,0.9795874018147189
4,1,fake_montreal,0,0.9828021502881232
4,1,fake_montreal,1,0.9955116999794963
4,1,fake_montreal,2,0.866268676166581
4,1,fake_paris,0,0.9928296748831851
4,1,fake_paris,1,0.6742388062140974
