horizon,diff_index,real_hardware,acc,ins
5,5,fake_belem2,0.947,-1
5,6,fake_belem2,0.031,-1
5,7,fake_belem2,0.073,-1
5,8,fake_belem2,0.948,-1
5,0,fake_tenerife0,0.892,-1
5,1,fake_tenerife0,0.887,-1
5,2,fake_tenerife0,0.889,-1
5,3,fake_tenerife0,0.887,-1
5,4,fake_tenerife0,0.894,-1
5,5,fake_tenerife0,0.892,-1
5,6,fake_tenerife0,0.109,-1
5,7,fake_tenerife0,0.105,-1
5,8,fake_tenerife0,0.897,-1
5,0,fake_tenerife1,0.754,-1
5,1,fake_tenerife1,0.742,-1
5,2,fake_tenerife1,0.754,-1
5,3,fake_tenerife1,0.751,-1
5,4,fake_tenerife1,0.748,-1
5,5,fake_tenerife1,0.75,-1
5,6,fake_tenerife1,0.252,-1
5,7,fake_tenerife1,0.226,-1
5,8,fake_tenerife1,0.755,-1
5,0,fake_lima0,0.975,-1
5,1,fake_lima0,0.961,-1
5,2,fake_lima0,0.972,-1
5,3,fake_lima0,0.96,-1
5,4,fake_lima0,0.977,-1
5,5,fake_lima0,0.969,-1
5,6,fake_lima0,0.021,-1
5,7,fake_lima0,0.04,-1
5,8,fake_lima0,0.971,-1
5,0,fake_lima1,0.978,-1
5,1,fake_lima1,0.962,-1
5,2,fake_lima1,0.97,-1
5,3,fake_lima1,0.963,-1
5,4,fake_lima1,0.982,-1
5,5,fake_lima1,0.969,-1
5,6,fake_lima1,0.019,-1
5,7,fake_lima1,0.034,-1
5,8,fake_lima1,0.973,-1
5,0,fake_lima2,0.95,-1
5,1,fake_lima2,0.909,-1
5,2,fake_lima2,0.934,-1
5,3,fake_lima2,0.903,-1
5,4,fake_lima2,0.951,-1
5,5,fake_lima2,0.934,-1
5,6,fake_lima2,0.048,-1
5,7,fake_lima2,0.088,-1
5,8,fake_lima2,0.93,-1
5,0,fake_rome0,0.957,-1
5,1,fake_rome0,0.943,-1
5,2,fake_rome0,0.952,-1
5,3,fake_rome0,0.95,-1
5,4,fake_rome0,0.964,-1
5,5,fake_rome0,0.954,-1
5,6,fake_rome0,0.038,-1
5,7,fake_rome0,0.05,-1
5,8,fake_rome0,0.959,-1
5,0,fake_rome1,0.971,-1
5,1,fake_rome1,0.962,-1
5,2,fake_rome1,0.962,-1
5,3,fake_rome1,0.96,-1
5,4,fake_rome1,0.969,-1
5,5,fake_rome1,0.962,-1
5,6,fake_rome1,0.033,-1
5,7,fake_rome1,0.044,-1
5,8,fake_rome1,0.968,-1
5,0,fake_rome2,0.972,-1
5,1,fake_rome2,0.957,-1
5,2,fake_rome2,0.967,-1
5,3,fake_rome2,0.964,-1
5,4,fake_rome2,0.973,-1
5,5,fake_rome2,0.966,-1
5,6,fake_rome2,0.029,-1
5,7,fake_rome2,0.042,-1
5,8,fake_rome2,0.969,-1
5,0,fake_manila0,0.967,-1
5,1,fake_manila0,0.952,-1
5,2,fake_manila0,0.96,-1
5,3,fake_manila0,0.948,-1
5,4,fake_manila0,0.969,-1
5,5,fake_manila0,0.957,-1
5,6,fake_manila0,0.036,-1
5,7,fake_manila0,0.048,-1
5,8,fake_manila0,0.966,-1
5,0,fake_manila1,0.969,-1
5,1,fake_manila1,0.936,-1
5,2,fake_manila1,0.953,-1
5,3,fake_manila1,0.947,-1
5,4,fake_manila1,0.971,-1
5,5,fake_manila1,0.957,-1
5,6,fake_manila1,0.027,-1
5,7,fake_manila1,0.067,-1
5,8,fake_manila1,0.953,-1
5,0,fake_manila2,0.972,-1
5,1,fake_manila2,0.957,-1
5,2,fake_manila2,0.967,-1
5,3,fake_manila2,0.953,-1
5,4,fake_manila2,0.974,-1
5,5,fake_manila2,0.97,-1
5,6,fake_manila2,0.024,-1
5,7,fake_manila2,0.041,-1
5,8,fake_manila2,0.968,-1
5,0,fake_santiago0,0.979,-1
5,1,fake_santiago0,0.973,-1
5,2,fake_santiago0,0.977,-1
5,3,fake_santiago0,0.971,-1
5,4,fake_santiago0,0.98,-1
5,5,fake_santiago0,0.979,-1
5,6,fake_santiago0,0.021,-1
5,7,fake_santiago0,0.024,-1
5,8,fake_santiago0,0.976,-1
5,0,fake_santiago1,0.985,-1
5,1,fake_santiago1,0.963,-1
5,2,fake_santiago1,0.969,-1
5,3,fake_santiago1,0.967,-1
5,4,fake_santiago1,0.981,-1
5,5,fake_santiago1,0.973,-1
5,6,fake_santiago1,0.018,-1
5,7,fake_santiago1,0.033,-1
5,8,fake_santiago1,0.968,-1
5,0,fake_santiago2,0.976,-1
5,1,fake_santiago2,0.978,-1
5,2,fake_santiago2,0.978,-1
5,3,fake_santiago2,0.977,-1
5,4,fake_santiago2,0.977,-1
5,5,fake_santiago2,0.973,-1
5,6,fake_santiago2,0.021,-1
5,7,fake_santiago2,0.022,-1
5,8,fake_santiago2,0.976,-1
5,0,fake_bogota0,0.96,-1
5,1,fake_bogota0,0.947,-1
5,2,fake_bogota0,0.956,-1
5,3,fake_bogota0,0.951,-1
5,4,fake_bogota0,0.963,-1
5,5,fake_bogota0,0.951,-1
5,6,fake_bogota0,0.032,-1
5,7,fake_bogota0,0.054,-1
5,8,fake_bogota0,0.952,-1
5,0,fake_bogota1,0.923,-1
5,1,fake_bogota1,0.904,-1
5,2,fake_bogota1,0.91,-1
5,3,fake_bogota1,0.907,-1
5,4,fake_bogota1,0.914,-1
5,5,fake_bogota1,0.905,-1
5,6,fake_bogota1,0.078,-1
5,7,fake_bogota1,0.094,-1
5,8,fake_bogota1,0.905,-1
5,0,fake_bogota2,0.894,-1
5,1,fake_bogota2,0.883,-1
5,2,fake_bogota2,0.89,-1
5,3,fake_bogota2,0.896,-1
5,4,fake_bogota2,0.896,-1
5,5,fake_bogota2,0.892,-1
5,6,fake_bogota2,0.105,-1
5,7,fake_bogota2,0.114,-1
5,8,fake_bogota2,0.884,-1
5,0,fake_ourense0,0.961,-1
5,1,fake_ourense0,0.957,-1
5,2,fake_ourense0,0.963,-1
5,3,fake_ourense0,0.954,-1
5,4,fake_ourense0,0.961,-1
5,5,fake_ourense0,0.962,-1
5,6,fake_ourense0,0.039,-1
5,7,fake_ourense0,0.046,-1
5,8,fake_ourense0,0.956,-1
5,0,fake_ourense1,0.963,-1
5,1,fake_ourense1,0.96,-1
5,2,fake_ourense1,0.958,-1
